year,day collected,weight,sfmf,nest size,logface
2012.00,-4,0.092,sf,8,0.727
2012.00,-4,0.101,sf,8,0.265
2012.00,-1,0.133,sf,8,0.909
2012.00,1,0.094,sf,8,0.812
2012.00,1,0.098,sf,8,0.291
2012.00,1,0.111,sf,8,0.707
2012.00,1,0.135,sf,8,0.492
2012.00,4,0.112,sf,8,0.905
2012.00,4,0.133,sf,8,0.839
2011.00,11,0.087,sf,7,0.945
2011.00,12,0.095,sf,7,0.748
2011.00,16,0.079,sf,7,0.946
2011.00,16,0.102,sf,7,0.788
2011.00,27,0.086,sf,7,0.822
2011.00,47,0.098,sf,7,0.635
2012.00,-6,0.070,sf,7,0.871
2012.00,-6,0.074,sf,7,0.274
2012.00,-6,0.089,sf,7,0.909
2012.00,-6,0.093,sf,7,0.301
2012.00,-6,0.096,sf,7,0.660
2012.00,-6,0.102,sf,7,0.743
2012.00,-6,0.116,sf,7,0.967
2012.00,-4,0.131,sf,7,0.844
2012.00,-1,0.083,sf,7,0.592
2012.00,-1,0.084,sf,7,0.959
2012.00,1,0.116,sf,7,0.910
2012.00,3,0.096,sf,7,0.804
2012.00,3,0.104,sf,7,0.903
2012.00,3,0.111,sf,7,0.903
2012.00,4,0.091,sf,7,0.981
2012.00,4,0.130,sf,7,0.614
2012.00,4,0.141,sf,7,0.851
2011.00,12,0.073,sf,6,0.909
2011.00,16,0.098,sf,6,0.000
2012.00,-6,0.112,sf,6,0.885
2012.00,-4,0.082,sf,6,0.789
2012.00,-4,0.098,sf,6,0.417
2012.00,-4,0.102,sf,6,0.986
2012.00,-1,0.088,sf,6,0.802
2012.00,-1,0.113,sf,6,0.784
2012.00,1,0.101,sf,6,0.269
2011.00,11,0.128,sf,5,0.000
2011.00,12,0.079,sf,5,0.952
2011.00,12,0.087,sf,5,0.289
2011.00,16,0.104,sf,5,0.789
2011.00,24,0.055,sf,5,0.939
2011.00,24,0.084,sf,5,0.000
2011.00,24,0.123,sf,5,0.966
2012.00,-6,0.061,sf,5,0.828
2012.00,-6,0.068,sf,5,0.713
2012.00,-6,0.086,sf,5,0.816
2012.00,-6,0.098,sf,5,0.723
2012.00,-6,0.106,sf,5,0.634
2012.00,-4,0.072,sf,5,0.876
2012.00,-1,0.101,sf,5,0.860
2012.00,1,0.083,sf,5,0.209
2012.00,2,0.064,sf,5,0.555
2011.00,11,0.095,sf,4,0.984
2011.00,16,0.104,sf,4,0.496
2011.00,24,0.095,sf,4,0.557
2011.00,27,0.081,sf,4,0.291
2011.00,29,0.057,sf,4,0.000
2012.00,-6,0.065,sf,4,0.455
2012.00,-6,0.093,sf,4,0.000
2012.00,-6,0.097,sf,4,0.569
2012.00,-6,0.107,sf,4,1.000
2012.00,-6,0.122,sf,4,0.000
2012.00,-1,0.098,sf,4,0.000
2012.00,-1,0.102,sf,4,0.000
2012.00,1,0.107,sf,4,0.297
